VDiode! (V),Current (A)
-0.708737963,-0.002872992
-0.70840499,-0.002872992
-0.70840499,-0.002869354
-0.70840499,-0.002869354
-0.70840499,-0.002865716
-0.70840499,-0.002865716
-0.708072018,-0.002862078
-0.708072018,-0.00285844
-0.708072018,-0.00285844
-0.708072018,-0.002854802
-0.707739045,-0.002851164
-0.707739045,-0.002847526
-0.707739045,-0.002847526
-0.707406073,-0.002843889
-0.707406073,-0.002843889
-0.707406073,-0.002840251
-0.7070731,-0.002836613
-0.7070731,-0.002836613
-0.7070731,-0.002832975
-0.7070731,-0.002829337
-0.7070731,-0.002829337
-0.706740127,-0.002825699
-0.706740127,-0.002822061
-0.706740127,-0.002822061
-0.706740127,-0.002818423
-0.706407155,-0.002814785
-0.706407155,-0.002814785
-0.706407155,-0.002811148
-0.706407155,-0.002811148
-0.706074182,-0.00280751
-0.706074182,-0.002803872
-0.706074182,-0.002800234
-0.706074182,-0.002800234
-0.705741209,-0.002796596
-0.705741209,-0.002796596
-0.705741209,-0.002792958
-0.705741209,-0.00278932
-0.705408237,-0.00278932
-0.705408237,-0.002785682
-0.705408237,-0.002782044
-0.705075264,-0.002778406
-0.704742292,-0.002774769
-0.704742292,-0.002774769
-0.704742292,-0.002771131
-0.704742292,-0.002767493
-0.704409319,-0.002767493
-0.704409319,-0.002763855
-0.704409319,-0.002760217
-0.704409319,-0.002760217
-0.704076346,-0.002756579
-0.704076346,-0.002756579
-0.704076346,-0.002752941
-0.704076346,-0.002749303
-0.703743374,-0.002745665
-0.703743374,-0.002745665
-0.703743374,-0.002742028
-0.703743374,-0.00273839
-0.703410401,-0.00273839
-0.703410401,-0.002734752
-0.703410401,-0.002731114
-0.703077429,-0.002731114
-0.703077429,-0.002727476
-0.703077429,-0.002723838
-0.703077429,-0.0027202
-0.703077429,-0.0027202
-0.703077429,-0.002716562
-0.702744456,-0.002716562
-0.702744456,-0.002712924
-0.702411483,-0.002712924
-0.702411483,-0.002709287
-0.702411483,-0.002705649
-0.702411483,-0.002705649
-0.702078511,-0.002702011
-0.702078511,-0.002698373
-0.702078511,-0.002698373
-0.701745538,-0.002694735
-0.701745538,-0.002691097
-0.701745538,-0.002691097
-0.701745538,-0.002687459
-0.701745538,-0.002683821
-0.701412566,-0.002683821
-0.701412566,-0.002680183
-0.701412566,-0.002676545
-0.701079593,-0.002676545
-0.701079593,-0.002672908
-0.701079593,-0.00266927
-0.701079593,-0.00266927
-0.70074662,-0.002665632
-0.701079593,-0.002665632
-0.70074662,-0.002665632
-0.70074662,-0.002661994
-0.700413648,-0.002658356
-0.700413648,-0.002654718
-0.700413648,-0.002654718
-0.700413648,-0.00265108
-0.700413648,-0.00265108
-0.700080675,-0.002647442
-0.700080675,-0.002647442
-0.700080675,-0.002643804
-0.700080675,-0.002640167
-0.699747702,-0.002636529
-0.699747702,-0.002636529
-0.699747702,-0.002632891
-0.699747702,-0.002629253
-0.69941473,-0.002629253
-0.69941473,-0.002625615
-0.69941473,-0.002625615
-0.699081757,-0.002621977
-0.699081757,-0.002618339
-0.699081757,-0.002618339
-0.699081757,-0.002614701
-0.699081757,-0.002611063
-0.698748785,-0.002611063
-0.698748785,-0.002607426
-0.698748785,-0.002603788
-0.698415812,-0.00260015
-0.698748785,-0.00260015
-0.698415812,-0.002596512
-0.698082839,-0.002592874
-0.698082839,-0.002592874
-0.698082839,-0.002589236
-0.698082839,-0.002589236
-0.698082839,-0.002585598
-0.698082839,-0.00258196
-0.697749867,-0.00258196
-0.697416894,-0.002578322
-0.697416894,-0.002574684
-0.697416894,-0.002574684
-0.697416894,-0.002571047
-0.697083922,-0.002567409
-0.697416894,-0.002567409
-0.697083922,-0.002563771
-0.697083922,-0.002560133
-0.697083922,-0.002560133
-0.696750949,-0.002556495
-0.696750949,-0.002552857
-0.696750949,-0.002552857
-0.696417976,-0.002549219
-0.696417976,-0.002545581
-0.696417976,-0.002545581
-0.696417976,-0.002541943
-0.696085004,-0.002538306
-0.696085004,-0.002534668
-0.696085004,-0.002534668
-0.696085004,-0.00253103
-0.695752031,-0.00253103
-0.695752031,-0.002527392
-0.695752031,-0.002523754
-0.695752031,-0.002523754
-0.695419058,-0.002520116
-0.695419058,-0.002516478
-0.695419058,-0.002516478
-0.695086086,-0.00251284
-0.695086086,-0.002509202
-0.695086086,-0.002505564
-0.694753113,-0.002505564
-0.694753113,-0.002501927
-0.694753113,-0.002498289
-0.694420141,-0.002498289
-0.694420141,-0.002494651
-0.694420141,-0.002491013
-0.694420141,-0.002491013
-0.694420141,-0.002487375
-0.694087168,-0.002483737
-0.694087168,-0.002483737
-0.693754195,-0.002480099
-0.693754195,-0.002480099
-0.693754195,-0.002476461
-0.693754195,-0.002472823
-0.693754195,-0.002472823
-0.693421223,-0.002469186
-0.693421223,-0.002465548
-0.69308825,-0.002465548
-0.69308825,-0.00246191
-0.69308825,-0.002458272
-0.692755278,-0.002454634
-0.692755278,-0.002454634
-0.692755278,-0.002450996
-0.692755278,-0.002450996
-0.692755278,-0.002447358
-0.692755278,-0.00244372
-0.692422305,-0.00244372
-0.692422305,-0.002440082
-0.692089332,-0.002436445
-0.692089332,-0.002436445
-0.692089332,-0.002432807
-0.69175636,-0.002429169
-0.69175636,-0.002429169
-0.69175636,-0.002425531
-0.69175636,-0.002425531
-0.69175636,-0.002421893
-0.691423387,-0.002418255
-0.691423387,-0.002418255
-0.691090415,-0.002414617
-0.691090415,-0.002410979
-0.691090415,-0.002410979
-0.691090415,-0.002407341
-0.691090415,-0.002407341
-0.690757442,-0.002403703
-0.690757442,-0.002403703
-0.690424469,-0.002400066
-0.690757442,-0.002396428
-0.690424469,-0.002396428
-0.690424469,-0.00239279
-0.690424469,-0.002389152
-0.690424469,-0.002389152
-0.690091497,-0.002385514
-0.690091497,-0.002381876
-0.689758524,-0.002378238
-0.689758524,-0.002378238
-0.689758524,-0.0023746
-0.689425551,-0.002370962
-0.689758524,-0.002370962
-0.689425551,-0.002367325
-0.689425551,-0.002367325
-0.689425551,-0.002363687
-0.689425551,-0.002360049
-0.689092579,-0.002360049
-0.689092579,-0.002356411
-0.689092579,-0.002352773
-0.688759606,-0.002352773
-0.688759606,-0.002349135
-0.688759606,-0.002345497
-0.688426634,-0.002345497
-0.688426634,-0.002341859
-0.688426634,-0.002338221
-0.688426634,-0.002338221
-0.688093661,-0.002334584
-0.688093661,-0.002330946
-0.688093661,-0.002330946
-0.687760688,-0.002327308
-0.687760688,-0.00232367
-0.687427716,-0.002320032
-0.687760688,-0.002320032
-0.687427716,-0.002316394
-0.687427716,-0.002316394
-0.687427716,-0.002312756
-0.687094743,-0.002309118
-0.687094743,-0.002309118
-0.686761771,-0.00230548
-0.686761771,-0.00230548
-0.686761771,-0.002301842
-0.686761771,-0.002298205
-0.686761771,-0.002294567
-0.686761771,-0.002294567
-0.686428798,-0.002290929
-0.686428798,-0.002287291
-0.686428798,-0.002287291
-0.686095825,-0.002283653
-0.686095825,-0.002280015
-0.686095825,-0.002280015
-0.685762853,-0.002276377
-0.685762853,-0.002272739
-0.685762853,-0.002272739
-0.68542988,-0.002269101
-0.68542988,-0.002269101
-0.685096907,-0.002265464
-0.685096907,-0.002261826
-0.684763935,-0.002261826
-0.684763935,-0.002258188
-0.684763935,-0.00225455
-0.684763935,-0.00225455
-0.684763935,-0.002250912
-0.684430962,-0.002247274
-0.684430962,-0.002243636
-0.68409799,-0.002243636
-0.68409799,-0.002239998
-0.68409799,-0.00223636
-0.68409799,-0.00223636
-0.683765017,-0.002232723
-0.683765017,-0.002232723
-0.683765017,-0.002229085
-0.683432044,-0.002225447
-0.683432044,-0.002225447
-0.683432044,-0.002221809
-0.683099072,-0.002221809
-0.683099072,-0.002218171
-0.683099072,-0.002214533
-0.682766099,-0.002210895
-0.682766099,-0.002207257
