Voltage(V),Current(A)
-1.832243296,-0.035760258
-1.832052494,-0.035754897
-1.831861112,-0.035749521
-1.83166915,-0.035744128
-1.831476606,-0.035738719
-1.83128348,-0.035733293
-1.831089771,-0.035727851
-1.830895478,-0.035722393
-1.8307006,-0.035716919
-1.830505136,-0.035711428
-1.830309085,-0.03570592
-1.830112447,-0.035700396
-1.82991522,-0.035694855
-1.829717405,-0.035689298
-1.829518998,-0.035683725
-1.829320001,-0.035678134
-1.829120412,-0.035672528
-1.82892023,-0.035666904
-1.828719454,-0.035661264
-1.828518084,-0.035655607
-1.828316118,-0.035649934
-1.828113556,-0.035644243
-1.827910396,-0.035638536
-1.827706638,-0.035632813
-1.827502282,-0.035627072
-1.827297325,-0.035621315
-1.827091767,-0.03561554
-1.826885608,-0.035609749
-1.826678846,-0.035603941
-1.826471481,-0.035598116
-1.826263511,-0.035592274
-1.826054937,-0.035586415
-1.825845756,-0.035580539
-1.825635968,-0.035574646
-1.825425572,-0.035568736
-1.825214567,-0.035562809
-1.825002953,-0.035556865
-1.824790729,-0.035550904
-1.824577892,-0.035544925
-1.824364444,-0.035538929
-1.824150382,-0.035532917
-1.823935707,-0.035526886
-1.823720416,-0.035520839
-1.82350451,-0.035514775
-1.823287987,-0.035508693
-1.823070846,-0.035502593
-1.822853087,-0.035496477
-1.822634708,-0.035490343
-1.822415709,-0.035484191
-1.822196089,-0.035478023
-1.821975847,-0.035471836
-1.821754982,-0.035465633
-1.821533494,-0.035459412
-1.82131138,-0.035453173
-1.821088641,-0.035446917
-1.820865276,-0.035440643
-1.820641284,-0.035434351
-1.820416663,-0.035428042
-1.820191413,-0.035421716
-1.819965533,-0.035415371
-1.819739022,-0.035409009
-1.81951188,-0.035402629
-1.819284104,-0.035396232
-1.819055696,-0.035389817
-1.818826653,-0.035383384
-1.818596974,-0.035376933
-1.81836666,-0.035370464
-1.818135708,-0.035363977
-1.817904119,-0.035357473
-1.81767189,-0.03535095
-1.817439022,-0.03534441
-1.817205514,-0.035337852
-1.816971364,-0.035331276
-1.816736571,-0.035324681
-1.816501136,-0.035318069
-1.816265056,-0.035311438
-1.816028331,-0.03530479
-1.81579096,-0.035298123
-1.815552943,-0.035291439
-1.815314278,-0.035284736
-1.815074964,-0.035278015
-1.814835001,-0.035271275
-1.814594387,-0.035264518
-1.814353123,-0.035257742
-1.814111206,-0.035250948
-1.813868636,-0.035244136
-1.813625412,-0.035237305
-1.813381534,-0.035230456
-1.813137,-0.035223588
-1.812891809,-0.035216702
-1.812645961,-0.035209798
-1.812399455,-0.035202875
-1.81215229,-0.035195934
-1.811904464,-0.035188974
-1.811655978,-0.035181996
-1.81140683,-0.035174999
-1.811157019,-0.035167984
-1.810906544,-0.03516095
-1.810655405,-0.035153897
-1.8104036,-0.035146826
-1.81015113,-0.035139736
-1.809897992,-0.035132627
-1.809644186,-0.0351255
-1.809389711,-0.035118354
-1.809134566,-0.035111189
-1.808878751,-0.035104005
-1.808622264,-0.035096803
-1.808365105,-0.035089581
-1.808107272,-0.035082341
-1.807848765,-0.035075082
-1.807589583,-0.035067804
-1.807329725,-0.035060507
-1.80706919,-0.03505319
-1.806807977,-0.035045855
-1.806546085,-0.035038501
-1.806283514,-0.035031128
-1.806020263,-0.035023736
-1.80575633,-0.035016325
-1.805491715,-0.035008895
-1.805226417,-0.035001445
-1.804960435,-0.034993976
-1.804693768,-0.034986488
-1.804426415,-0.034978981
-1.804158375,-0.034971455
-1.803889648,-0.034963909
-1.803620233,-0.034956344
-1.803350128,-0.03494876
-1.803079333,-0.034941157
-1.802807847,-0.034933534
-1.802535669,-0.034925891
-1.802262799,-0.03491823
-1.801989234,-0.034910548
-1.801714975,-0.034902848
-1.80144002,-0.034895128
-1.801164369,-0.034887388
-1.80088802,-0.034879629
-1.800610974,-0.03487185
-1.800333228,-0.034864052
-1.800054782,-0.034856234
-1.799775636,-0.034848396
-1.799495788,-0.034840539
-1.799215237,-0.034832662
-1.798933982,-0.034824765
-1.798652024,-0.034816849
-1.798369359,-0.034808913
-1.798085989,-0.034800957
-1.797801912,-0.034792981
-1.797517127,-0.034784985
-1.797231632,-0.03477697
-1.796945429,-0.034768935
-1.796658514,-0.034760879
-1.796370888,-0.034752804
-1.79608255,-0.034744709
-1.795793498,-0.034736594
-1.795503732,-0.034728459
-1.795213252,-0.034720304
-1.794922055,-0.034712128
-1.794630141,-0.034703933
-1.79433751,-0.034695718
-1.79404416,-0.034687482
-1.79375009,-0.034679227
-1.7934553,-0.034670951
-1.793159789,-0.034662655
-1.792863556,-0.034654338
-1.7925666,-0.034646002
-1.792268919,-0.034637645
-1.791970514,-0.034629268
-1.791671383,-0.03462087
-1.791371526,-0.034612453
-1.791070941,-0.034604015
-1.790769628,-0.034595556
-1.790467585,-0.034587077
-1.790164812,-0.034578578
-1.789861308,-0.034570058
-1.789557072,-0.034561517
-1.789252104,-0.034552956
-1.788946401,-0.034544375
-1.788639964,-0.034535773
-1.788332792,-0.03452715
-1.788024883,-0.034518507
-1.787716237,-0.034509843
-1.787406852,-0.034501158
-1.787096729,-0.034492453
-1.786785866,-0.034483727
-1.786474261,-0.03447498
-1.786161915,-0.034466213
-1.785848827,-0.034457424
-1.785534995,-0.034448615
-1.785220418,-0.034439785
-1.784905096,-0.034430935
-1.784589028,-0.034422063
-1.784272213,-0.03441317
-1.78395465,-0.034404257
-1.783636339,-0.034395322
-1.783317277,-0.034386366
-1.782997465,-0.03437739
-1.782676901,-0.034368392
-1.782355585,-0.034359374
-1.782033515,-0.034350334
-1.781710691,-0.034341273
-1.781387113,-0.034332191
-1.781062778,-0.034323088
-1.780737686,-0.034313963
-1.780411837,-0.034304818
-1.780085229,-0.034295651
-1.779757861,-0.034286463
-1.779429733,-0.034277254
-1.779100844,-0.034268023
-1.778771192,-0.034258771
-1.778440777,-0.034249498
-1.778109598,-0.034240203
-1.777777655,-0.034230887
-1.777444945,-0.034221549
-1.777111469,-0.03421219
-1.776777226,-0.03420281
-1.776442213,-0.034193408
-1.776106432,-0.034183984
-1.77576988,-0.034174539
-1.775432557,-0.034165072
-1.775094463,-0.034155584
-1.774755595,-0.034146074
-1.774415953,-0.034136543
-1.774075537,-0.034126989
-1.773734345,-0.034117414
-1.773392376,-0.034107818
-1.773049631,-0.034098199
-1.772706106,-0.034088559
-1.772361803,-0.034078897
-1.77201672,-0.034069213
-1.771670856,-0.034059508
-1.77132421,-0.03404978
-1.770976781,-0.03404003
-1.770628568,-0.034030259
-1.770279571,-0.034020466
-1.769929789,-0.03401065
-1.76957922,-0.034000813
-1.769227864,-0.033990954
-1.76887572,-0.033981072
-1.768522787,-0.033971169
-1.768169064,-0.033961243
-1.76781455,-0.033951296
-1.767459245,-0.033941326
-1.767103147,-0.033931334
-1.766746256,-0.03392132
-1.76638857,-0.033911283
-1.766030089,-0.033901225
-1.765670812,-0.033891144
-1.765310737,-0.033881041
-1.764949865,-0.033870915
-1.764588194,-0.033860767
-1.764225724,-0.033850597
-1.763862453,-0.033840404
-1.76349838,-0.033830189
-1.763133505,-0.033819952
-1.762767826,-0.033809692
-1.762401344,-0.033799409
-1.762034056,-0.033789104
-1.761665962,-0.033778777
-1.761297062,-0.033768427
-1.760927353,-0.033758054
-1.760556836,-0.033747659
-1.76018551,-0.033737241
-1.759813373,-0.033726801
-1.759440424,-0.033716337
-1.759066664,-0.033705851
-1.75869209,-0.033695343
-1.758316702,-0.033684811
-1.757940499,-0.033674257
-1.757563481,-0.03366368
-1.757185646,-0.03365308
-1.756806993,-0.033642457
-1.756427521,-0.033631812
-1.756047231,-0.033621143
-1.75566612,-0.033610452
-1.755284187,-0.033599737
-1.754901433,-0.033589
-1.754517856,-0.03357824
-1.754133454,-0.033567456
-1.753748228,-0.03355665
-1.753362177,-0.03354582
-1.752975298,-0.033534968
-1.752587593,-0.033524092
-1.752199058,-0.033513193
-1.751809695,-0.033502271
-1.751419501,-0.033491325
-1.751028477,-0.033480357
-1.75063662,-0.033469365
-1.750243931,-0.03345835
-1.749850408,-0.033447312
-1.74945605,-0.03343625
-1.749060856,-0.033425165
-1.748664827,-0.033414056
-1.748267959,-0.033402925
-1.747870254,-0.033391769
-1.747471709,-0.033380591
-1.747072325,-0.033369389
-1.746672099,-0.033358163
-1.746271032,-0.033346914
-1.745869122,-0.033335641
-1.745466368,-0.033324345
-1.74506277,-0.033313025
-1.744658326,-0.033301681
-1.744253037,-0.033290314
-1.743846899,-0.033278923
-1.743439914,-0.033267509
