Voltage(V),Current(A)
-1.093966577,-0.039344499
-1.093913082,-0.039339229
-1.093859415,-0.039333942
-1.093805575,-0.039328639
-1.09375156,-0.039323318
-1.093697372,-0.03931798
-1.09364301,-0.039312625
-1.093588474,-0.039307253
-1.093533763,-0.039301864
-1.093478876,-0.039296458
-1.093423815,-0.039291034
-1.093368578,-0.039285593
-1.093313165,-0.039280135
-1.093257576,-0.03927466
-1.093201811,-0.039269167
-1.093145869,-0.039263657
-1.09308975,-0.039258129
-1.093033453,-0.039252585
-1.09297698,-0.039247022
-1.092920328,-0.039241443
-1.092863498,-0.039235845
-1.09280649,-0.039230231
-1.092749303,-0.039224598
-1.092691938,-0.039218948
-1.092634393,-0.039213281
-1.092576669,-0.039207596
-1.092518764,-0.039201893
-1.09246068,-0.039196173
-1.092402415,-0.039190434
-1.09234397,-0.039184679
-1.092285344,-0.039178905
-1.092226537,-0.039173114
-1.092167548,-0.039167304
-1.092108377,-0.039161477
-1.092049024,-0.039155632
-1.091989489,-0.039149769
-1.091929772,-0.039143889
-1.091869871,-0.03913799
-1.091809787,-0.039132073
-1.09174952,-0.039126138
-1.091689069,-0.039120186
-1.091628434,-0.039114215
-1.091567615,-0.039108226
-1.091506611,-0.039102219
-1.091445422,-0.039096194
-1.091384048,-0.03909015
-1.091322489,-0.039084089
-1.091260743,-0.039078009
-1.091198812,-0.039071911
-1.091136695,-0.039065794
-1.09107439,-0.03905966
-1.091011899,-0.039053507
-1.090949221,-0.039047336
-1.090886356,-0.039041146
-1.090823302,-0.039034938
-1.090760061,-0.039028711
-1.090696631,-0.039022466
-1.090633013,-0.039016202
-1.090569206,-0.03900992
-1.09050521,-0.03900362
-1.090441024,-0.0389973
-1.090376649,-0.038990963
-1.090312084,-0.038984606
-1.090247328,-0.038978231
-1.090182382,-0.038971837
-1.090117245,-0.038965425
-1.090051917,-0.038958993
-1.089986397,-0.038952543
-1.089920686,-0.038946074
-1.089854783,-0.038939587
-1.089788687,-0.03893308
-1.089722399,-0.038926554
-1.089655918,-0.03892001
-1.089589244,-0.038913447
-1.089522377,-0.038906865
-1.089455316,-0.038900263
-1.089388061,-0.038893643
-1.089320611,-0.038887004
-1.089252967,-0.038880345
-1.089185129,-0.038873668
-1.089117095,-0.038866971
