Time(s),Current(A)
0.038825951,1.23E-09
0.039056144,-4.19E-10
0.039287246,1.23E-09
0.039519257,-4.18E-10
0.03975218,1.23E-09
0.039986016,-4.18E-10
0.040220768,1.23E-09
0.040456436,-4.17E-10
0.040693024,1.23E-09
0.040930532,-4.16E-10
0.041168962,1.22E-09
0.041408316,-4.15E-10
0.041648597,1.22E-09
0.041889805,-4.14E-10
0.042131942,1.22E-09
0.042375011,-4.14E-10
0.042619013,1.22E-09
0.04286395,-4.13E-10
0.043109824,1.22E-09
0.043356635,-4.12E-10
0.043604388,1.22E-09
0.043853082,-4.11E-10
0.04410272,1.22E-09
0.044353304,-4.11E-10
0.044604835,1.22E-09
0.044857315,-4.10E-10
0.045110746,1.22E-09
0.04536513,-4.09E-10
0.045620468,1.22E-09
0.045876763,-4.08E-10
0.046134016,1.22E-09
0.046392229,-4.08E-10
0.046651403,1.22E-09
0.046911541,-4.07E-10
0.047172644,1.22E-09
0.047434715,-4.06E-10
0.047697754,1.21E-09
0.047961763,-4.05E-10
0.048226745,1.21E-09
0.048492702,-4.05E-10
0.048759634,1.21E-09
0.049027544,-4.04E-10
0.049296434,1.21E-09
0.049566305,-4.03E-10
0.049837159,1.21E-09
0.050108998,-4.03E-10
0.050381824,1.21E-09
0.050655638,-4.02E-10
0.050930443,1.21E-09
0.051206239,-4.01E-10
0.05148303,1.21E-09
0.051760816,-4.00E-10
0.052039599,1.21E-09
0.052319382,-4.00E-10
0.052600166,1.21E-09
0.052881953,-3.99E-10
0.053164744,1.21E-09
0.053448541,-3.98E-10
0.053733347,1.21E-09
0.054019163,-3.98E-10
0.05430599,1.21E-09
0.054593831,-3.97E-10
0.054882687,1.21E-09
0.055172561,-3.96E-10
0.055463453,1.21E-09
0.055755366,-3.96E-10
0.056048301,1.20E-09
0.056342261,-3.95E-10
0.056637246,1.20E-09
0.05693326,-3.95E-10
0.057230303,1.20E-09
0.057528378,-3.94E-10
0.057827485,1.20E-09
0.058127628,-3.93E-10
0.058428807,1.20E-09
0.058731025,-3.93E-10
0.059034284,1.20E-09
0.059338584,-3.92E-10
0.059643928,1.20E-09
0.059950318,-3.91E-10
0.060257756,1.20E-09
0.060566243,-3.91E-10
0.060875781,1.20E-09
0.061186371,-3.90E-10
0.061498017,1.20E-09
0.061810718,-3.90E-10
0.062124478,1.20E-09
0.062439298,-3.89E-10
0.06275518,1.20E-09
0.063072126,-3.88E-10
0.063390136,1.20E-09
0.063709214,-3.88E-10
0.064029361,1.20E-09
0.064350578,-3.87E-10
0.064672869,1.20E-09
0.064996233,-3.87E-10
0.065320673,1.20E-09
0.065646192,-3.86E-10
0.06597279,1.19E-09
0.066300469,-3.86E-10
0.066629232,1.19E-09
0.066959079,-3.85E-10
0.067290014,1.19E-09
0.067622037,-3.84E-10
0.06795515,1.19E-09
0.068289356,-3.84E-10
0.068624656,1.19E-09
0.068961051,-3.83E-10
0.069298544,1.19E-09
0.069637136,-3.83E-10
0.06997683,1.19E-09
0.070317626,-3.82E-10
0.070659527,1.19E-09
0.071002534,-3.82E-10
0.07134665,1.19E-09
0.071691876,-3.81E-10
0.072038213,1.19E-09
0.072385664,-3.81E-10
0.072734231,1.19E-09
0.073083915,-3.80E-10
0.073434717,1.19E-09
0.073786641,-3.80E-10
0.074139687,1.19E-09
0.074493858,-3.79E-10
0.074849154,1.19E-09
0.075205579,-3.79E-10
0.075563133,1.19E-09
0.075921819,-3.78E-10
0.076281638,1.19E-09
0.076642592,-3.78E-10
0.077004683,1.19E-09
0.077367913,-3.77E-10
0.077732283,1.19E-09
