Voltage(V),Current(A)
-3.279926087,-0.026427879
-3.279916917,-0.026414931
-3.279907724,-0.026401955
-3.279898506,-0.026388952
-3.279889265,-0.026375922
-3.27988,-0.026362864
-3.279870711,-0.026349779
-3.279861398,-0.026336667
-3.279852061,-0.026323528
-3.2798427,-0.026310361
-3.279833314,-0.026297167
-3.279823905,-0.026283945
-3.279814471,-0.026270696
-3.279805012,-0.026257419
-3.279795529,-0.026244115
-3.279786022,-0.026230784
-3.27977649,-0.026217424
-3.279766934,-0.026204037
-3.279757353,-0.026190623
-3.279747747,-0.026177181
-3.279738117,-0.026163711
-3.279728462,-0.026150213
-3.279718782,-0.026136688
-3.279709077,-0.026123135
-3.279699347,-0.026109554
-3.279689592,-0.026095945
-3.279679812,-0.026082308
-3.279670007,-0.026068644
-3.279660177,-0.026054951
-3.279650321,-0.026041231
-3.27964044,-0.026027482
-3.279630534,-0.026013706
-3.279620602,-0.025999902
-3.279610645,-0.025986069
-3.279600663,-0.025972208
-3.279590654,-0.02595832
-3.27958062,-0.025944403
-3.279570561,-0.025930458
-3.279560475,-0.025916485
-3.279550364,-0.025902483
-3.279540227,-0.025888453
-3.279530064,-0.025874395
-3.279519875,-0.025860309
-3.279509659,-0.025846194
-3.279499418,-0.025832051
